question,option_1,option_2,option_3,option_4,correct_option,topic
... is a graphical representation of an algorithm.,Algorithm,Flowchart,Pseudo-code,Program,option_2,Algorithms
Which of the following is not a type of flowchart?,Sequential flowcharts,Branched flowcharts,Loop flowcharts,Reserved flowchart,option_4,Algorithms
Which of the following is not a condition for an algorithm?,Use clear expressions,Arrange steps logically,Use one programming language,,option_3,Algorithms
Java considers the variables number and NuMbEr to be identical.,True,False,,,option_2,Java Basics
... is a program that translating a high-level language program into a machine language.,Compiler,NetBeans,Interpreter,,option_1,Java Basics
To be able to read inputs for the Java program, which class must be imported?,System.in,Scanner,InputStream,,option_2,Java Input
Which one is not error that can occur in a Java program.,Syntax Errors,Runtime Errors,Logical Errors,Warnings Errors,option_4,Java Errors
Java is case sensitive language.,True,False,,,option_1,Java Basics
The memory requirement for byte data type is ...,1 byte = 8 bits,4 bytes = 32 bits,,,option_1,Data Types
Which type of Operators have higher precedence.,Unary Operators,Logical Operators,,,option_1,Operators
The \t escape character used for:,Return to the start of the line,Create a tab,New line,,option_2,Escape Characters
When the logical expression AND is true?,If a or b are true,If a and b are true,If both false,,option_2,Logic
2ab is a valid variable name?,Yes,No,,,option_2,Identifiers
What is Java Virtual Machine (JVM)?,Abstract machine runs Java,Set of cmd programs,,,option_1,JVM
Which method is used to read integer.,nextFloat(),nextLine(),nextInt(),,option_3,Scanner
When the logical expression OR is true?,Both true,One true,Both false,,option_2,Logic
... is a location in the computer's memory where a value can be stored.,String,Variable,Main Class,,option_2,Memory
... begins an end-of-line comment.,//,space,\\,*/,option_1,Comments
