lecture_number,lecture_name,question,option_1,option_2,option_3,option_4,correct_option
1,Computer Basics & Definitions,What is a computer? (ما هو الحاسوب؟),Electronic device that processes data,Machine only for storage,Calculator only,Device without memory,option_1
1,Computer Basics & Definitions,Data refers to: (البيانات تعني),Processed information,Raw facts,Programs,Instructions,option_2
1,Computer Basics & Definitions,Information is: (المعلومات هي),Raw data,Meaningful processed data,Random symbols,Unorganized facts,option_2
1,Computer Basics & Definitions,Main computer cycle is: (دورة عمل الحاسوب),Input-Output,Input-Process-Output,Process-Store,Store-Execute,option_2
1,Computer Basics & Definitions,CPU stands for: (CPU تعني),Central Processing Unit,Control Program Unit,Computer Power Unit,Central Performance Unit,option_1
1,Computer Basics & Definitions,CPU is called brain because: (يسمى دماغ الحاسوب لأنه),Stores data,Processes & controls,Displays output,Supplies power,option_2
1,Computer Basics & Definitions,Hardware means: (الهاردوير يعني),Programs,Physical parts,Data,Instructions,option_2
1,Computer Basics & Definitions,Software means: (السوفتوير يعني),Hardware devices,Programs & instructions,Input units,Output units,option_2
1,Computer Basics & Definitions,Which is software? (أيها برنامج),Keyboard,Monitor,Operating System,Printer,option_3
1,Computer Basics & Definitions,Without software hardware is: (بدون برامج يكون الحاسوب),Fully usable,Useless,Faster,Independent,option_2
1,Computer Basics & Definitions,Input devices are used to: (أجهزة الإدخال تستخدم لـ),Display results,Enter data,Store data,Process data,option_2
1,Computer Basics & Definitions,Output devices are used to: (أجهزة الإخراج تستخدم لـ),Enter data,Display information,Process data,Store data,option_2
1,Computer Basics & Definitions,Example of output device: (مثال جهاز إخراج),Keyboard,Mouse,Monitor,Scanner,option_3
1,Computer Basics & Definitions,Example of input device: (مثال جهاز إدخال),Printer,Speaker,Monitor,Keyboard,option_4
1,Computer Basics & Definitions,Storage unit is used to: (وحدة الخزن تستخدم لـ),Input,Output,Store data,Process,option_3
1,Computer Basics & Definitions,Which part processes data? (أي جزء يعالج البيانات),Input unit,CPU,Output unit,Storage,option_2
2,Categories of Computers,Supercomputers are used for: (تستخدم الحواسيب العملاقة لـ),Games,Scientific simulations,Office work,Mobile apps,option_2
2,Categories of Computers,Mainframe computers are suitable for: (الحواسيب المركزية مناسبة لـ),Single user,Large organizations,Home use,Gaming,option_2
2,Categories of Computers,Personal computers are designed for: (الحواسيب الشخصية مخصصة لـ),Multiple users,Single user,Servers,Weather forecast,option_2
2,Categories of Computers,Which has highest power? (الأعلى قدرة معالجة),PC,Mainframe,Supercomputer,Mini computer,option_3
2,Categories of Computers,Computers classification depends on: (تصنيف الحواسيب يعتمد على),Color,Processing power,Brand,Size only,option_2
2,Categories of Computers,Mini computers are used in: (الحواسيب الصغيرة تستخدم في),Homes,Small organizations,Research centers,Personal gaming,option_2
2,Categories of Computers,Laptop is a type of: (الحاسوب المحمول هو),Mainframe,Supercomputer,Personal computer,Mini computer,option_3
2,Categories of Computers,Smartphone is considered: (الهاتف الذكي يعتبر),Supercomputer,Personal computer,Embedded system,Mainframe,option_2
2,Categories of Computers,Servers are mainly used for: (الخوادم تستخدم لـ),Gaming,Providing services,Personal use,Editing,option_2
2,Categories of Computers,Embedded systems are found in: (الأنظمة المدمجة توجد في),PCs,Cars & appliances,Servers,Supercomputers,option_2
2,Categories of Computers,Which is smallest? (الأصغر حجماً),Mainframe,Supercomputer,Embedded system,PC,option_3
2,Categories of Computers,Which supports many users? (يدعم مستخدمين كُثر),PC,Laptop,Mainframe,Tablet,option_3
2,Categories of Computers,Personal computers advantage: (ميزة الحواسيب الشخصية),High cost,Ease of use,Multi-user,Industrial use,option_2
2,Categories of Computers,Supercomputers feature: (ميزة الحواسيب العملاقة),Low power,Parallel processing,Low speed,Small size,option_2
