question,option_1,option_2,option_3,option_4,correct_option
"A set of logically written, sequential steps that solve a problem.",Pseudo-code,Algorithm,,,"option_2"
"Which of the following is NOT a type of flowchart?","Sequential flowchart","Branched flowchart","Loop flowchart","Reserved flowchart","option_4"
"Which is NOT a condition for writing an algorithm?","Use flowchart or pseudo-code","Use sequence/selection/iteration","Use one programming language",,"option_3"
"A graphical representation that shows the workflow of an algorithm.",Algorithm,Flowchart,,,"option_2"
"Java considers number and NuMbEr to be identical.",True,False,,,"option_2"
"A program that translates high-level code into machine code.",Compiler,NetBeans,,,"option_1"
"Which class must be imported to read user input?",System.in,Scanner,,,"option_2"
"Which is NOT an error type in Java?","Syntax Error","Runtime Error","Logical Error","Warning Error","option_4"
"Java is a case-sensitive language.",True,False,,,"option_1"
"The memory size of byte data type is:", "1 byte = 8 bits","4 bytes = 32 bits",,,"option_1"
"Which operators have higher precedence?","Unary Operators","Logical Operators",,,"option_1"
"The \\t escape character is used to:", "Return to start of line","Create a tab",,,"option_2"
"When is the AND expression true?","If a or b is true","If a and b are true","If both are false",,"option_2"
"Is 2ab a valid Java variable name?",Yes,No,,,"option_2"
"What is the JVM?","Abstract machine to run Java programs","CMD tools for testing",,,"option_1"
"Which method reads an integer?",nextFloat(),nextLine(),nextInt(),,"option_3"
"When is the OR expression true?","Both are true","At least one is true","Both are false",,"option_2"
"A memory location used to store a value.",String,Variable,"Main Class",,"option_2"
"Java provides which advantage?","Auto memory + multithreading","Manual memory + single thread",,,"option_1"
"Which begins an end-of-line comment?","//","space","\\","*/","option_1"
"The (+) operator is which type?","Arithmetic","Logical","Equality",,"option_1"
"What type of error is in: float y = 5;?","Syntax: int y = 5","Syntax: float Y = 5",,,"option_2"
"Increment operator ++ increases value by:", "+2","+1",,,"option_2"
"When all switch cases are false, which executes?","case 0","default",,,"option_2"
"Which imports the Scanner class?","import Java.Util.Scanner","import java.util.scanner","import java.util.Scanner",,"option_3"
"Casting char to int gives:","ASCII value","String value",,,"option_1"
"Case values in switch must be:","Constant expressions","Range expressions",,,"option_1"
