lecture_number,lecture_name,question,option_1,option_2,option_3,option_4,correct_option
1,معلقة عنترة,ما الغرض الأدبي الغالب في معلقة عنترة؟,الفخر وإظهار البطولة,الرثاء,الزهد,المدح الديني,option_1
1,معلقة عنترة,يرتبط فخر عنترة في المعلقة أساسًا بـ:,الشجاعة والقتال,النسب فقط,المال,السلطة السياسية,option_1
1,معلقة عنترة,تُظهر المعلقة صورة عنترة بوصفه:,فارسًا شجاعًا ومحبًا,حكيمًا زاهدًا,شاعر بلا تجربة,راويًا تاريخيًا,option_1
1,معلقة عنترة,تتسم لغة معلقة عنترة بـ:,القوة والجزالة,السهولة العامية,الغموض الفلسفي,التكلف,option_1
1,معلقة عنترة,يبرز في المعلقة الجمع بين:,الحب والحرب,السياسة والدين,الحكمة والرثاء,الوصف العلمي,option_1
1,معلقة عنترة,سبب شهرة معلقة عنترة يعود إلى:,صدق التجربة الشعرية,قصرها,موضوعها الديني,سهولة ألفاظها,option_1
1,معلقة عنترة,ينتمي شعر عنترة إلى العصر:,الجاهلي,الإسلامي,الأموي,العباسي,option_1
1,معلقة عنترة,تعكس المعلقة قيم المجتمع الجاهلي مثل:,الشجاعة والكرم,الزهد والتصوف,العدل السياسي,العلم,option_1
1,معلقة عنترة,يظهر الفخر الفردي في المعلقة من خلال:,بطولات الشاعر الشخصية,ذكر القبيلة فقط,وصف الطبيعة,المدح,option_1
1,معلقة عنترة,من السمات الأسلوبية البارزة في المعلقة:,التشبيه الحسي,السخرية,الرمز الصوفي,الإيجاز الشديد,option_1
2,حياة عنترة,كان عنترة بن شداد من حيث الأصل:,عبدًا ثم اعترف به أبوه,ملكًا,تاجرًا,شاعر بلا قبيلة,option_1
2,حياة عنترة,أثرت حياة عنترة في شعره من خلال:,التجربة القتالية,الدراسة العلمية,الرحلات التجارية,الحياة السياسية,option_1
2,حياة عنترة,اشتهر عنترة بصفته:,فارسًا وشاعرًا,خطيبًا,قاضيًا,مؤرخًا,option_1
2,حياة عنترة,كان دافع عنترة لإثبات نفسه:,تحقيق الاعتراف الاجتماعي,جمع المال,طلب العلم,السلطة,option_1
2,حياة عنترة,تمثل عبلة في حياة عنترة:,رمز الحب,رمز الحرب,رمز السلطة,رمز الحكمة,option_1
2,حياة عنترة,واجه عنترة في حياته:,التمييز الطبقي,الفقر فقط,المنفى,السجن,option_1
2,حياة عنترة,أبرز ما يميز شخصية عنترة:,الشجاعة والإصرار,الهدوء,التردد,العزلة,option_1
