"تُعرَّف حقوق الإنسان بأنها مجموعة من الحقوق والحريات الأساسية التي يتمتع بها كل إنسان دون تمييز بسبب _____.","الجنس أو اللون أو الدين أو اللغة","المواطنة فقط",0
"حقوق الإنسان تُعد حقوقًا _____ أي أنها تثبت للإنسان لمجرد كونه إنسانًا.","فطرية وطبيعية","ممنوحة من الدولة",0
"من خصائص حقوق الإنسان أنها غير قابلة _____، أي لا يجوز التنازل عنها.","للتصرف","للتنظيم",0
"تتميّز حقوق الإنسان بأنها حقوق _____ تشمل جميع البشر دون استثناء.","عالمية","محلية",0
"تُوصف حقوق الإنسان بأنها مترابطة ومتكاملة، أي أن _____ يؤدي إلى التأثير على باقي الحقوق.","انتهاك أحدها","تنظيم أحدها",0
"الحقوق المدنية والسياسية تُعد من حقوق الإنسان من _____ الأول.","الجيل","المستوى",0
"الحقوق الاقتصادية والاجتماعية والثقافية تُصنَّف ضمن حقوق الجيل _____.","الثاني","الأول",0
"الحقوق البيئية وحقوق التنمية تُعد من حقوق الجيل _____.","الثالث","الأول",0
"من أمثلة الحقوق المدنية حق الإنسان في _____.","الحياة","الضمان الاجتماعي",0
"حق المشاركة في الحياة السياسية يُعد من الحقوق _____.","السياسية","الاقتصادية",0
"حق التعليم والعمل يُصنَّف ضمن الحقوق _____.","الاقتصادية والاجتماعية","السياسية",0
"حقوق الإنسان في الإسلام تستند إلى مبدأ _____ الإنسان.","كرامة","سيادة",0
"مصدر حقوق الإنسان في الإسلام هو _____ وليس الاتفاقيات الدولية.","الشريعة الإسلامية","القانون الوضعي",0
"تتميّز حقوق الإنسان في الإسلام بأنها شاملة ومتوازنة بين _____ وواجباته.","حقوق الإنسان","حقوق الدولة",0
"تحقيق العدالة والمساواة بين الناس في الإسلام يُعد من _____ حقوق الإنسان.","أسس","نتائج",0
"الآليات الوطنية لحماية حقوق الإنسان تشمل المؤسسات التي تعمل داخل _____.","الدولة","الأمم المتحدة",0
"من أمثلة الآليات الوطنية العامة لحقوق الإنسان _____ حقوق الإنسان.","المفوضية","مجلس الأمن",0
"الآليات الإجرائية لحقوق الإنسان تهدف إلى _____ الحقوق.","حماية وتنفيذ","إلغاء",0
"الآليات الدولية لحقوق الإنسان تعمل تحت إشراف _____ المتحدة.","الأمم","الدول",0
"الشرعة الدولية لحقوق الإنسان تتكوّن من الإعلان العالمي و_____ الدوليين.","العهدين","البروتوكولين",0
"الإعلان العالمي لحقوق الإنسان صدر عام _____.","1948","1958",0
"القيمة القانونية للإعلان العالمي لحقوق الإنسان تُعد _____ من حيث الإلزام.","أدبية ومعنوية","تشريعية ملزمة",0
"العهد الدولي الخاص بالحقوق المدنية والسياسية يُعد وثيقة _____ قانونيًا.","ملزمة","غير رسمية",0
"العهد الدولي الخاص بالحقوق الاقتصادية والاجتماعية والثقافية يركّز على حقوق _____ الإنسان.","معيشة","سيادة",0
"العهدان الدوليان يشكّلان مع الإعلان العالمي ما يُعرف بـ _____.","الشرعة الدولية لحقوق الإنسان","القانون الدولي الإنساني",0
"الدول الأطراف في العهدين الدوليين تلتزم بتقديم _____ دورية.","تقارير","عقوبات",0
"القيمة القانونية للعهدين الدوليين أعلى من قيمة _____.","الإعلان العالمي","الدساتير الوطنية",0
"اللجان الدولية المختصة بالعهدين تقوم بدراسة _____ الدول.","تقارير","شكاوى الأفراد فقط",0
"حقوق الفئات تُقصد بها الحقوق المقررة لفئات _____ في المجتمع.","محددة","مسيطرة",0
"من الفئات المشمولة بحقوق خاصة: المرأة والطفل و_____","ذوي الإعاقة","السياسيين",0
"اتفاقية سيداو تُعنى بالقضاء على التمييز ضد _____.","المرأة","الأقليات",0
"من أهم أهداف اتفاقية سيداو تحقيق _____ بين الرجل والمرأة.","المساواة","التماثل المطلق",0
"من الانتقادات الموجّهة لاتفاقية سيداو تعارض بعض موادها مع _____.","الخصوصيات الثقافية والدينية","حقوق الإنسان",0
"تسعى اتفاقية سيداو إلى تعديل القوانين الوطنية بما يضمن _____ المرأة.","حقوق","تفوق",0
"حقوق المرأة تُعد جزءًا لا يتجزأ من _____ الإنسان.","حقوق","واجبات",0
"تطبيق حقوق الإنسان يتطلب وجود _____ قانونية تحميها.","ضمانات","شعارات",0
"انتهاك حقوق الإنسان قد يكون من قبل الدولة أو _____.","الأفراد","المنظمات الدولية فقط",0
"القانون الدولي لحقوق الإنسان يهدف إلى حماية الفرد في زمن _____.","السلم","الحرب فقط",0
"احترام حقوق الإنسان يُعد معيارًا لقياس _____ الدول.","تحضّر","قوتها العسكرية",0
"الدساتير الوطنية الحديثة تتضمّن نصوصًا خاصة بـ _____.","حقوق الإنسان","النظام الاقتصادي فقط",0
"عدم التمييز يُعد مبدأً أساسيًا من مبادئ _____ الإنسان.","حقوق","واجبات",0
"حرية الرأي والتعبير تُعد من الحقوق _____ الأساسية.","المدنية","الاقتصادية",0
"حماية حقوق الإنسان مسؤولية مشتركة بين الدولة و_____","المجتمع","المنظمات الأجنبية",0
"تقييد حقوق الإنسان لا يجوز إلا وفق _____ يحدده القانون.","ضوابط","أهواء السلطة",0
"الاعتراف الدولي بحقوق الإنسان جاء نتيجة _____ البشرية.","تجارب ومعاناة","تقدم التكنولوجيا",0
"الغاية الأساسية من حقوق الإنسان هي حماية _____ الإنسان.","كرامة","سلطة",0
