question,option_1,option_2,option_3,option_4,correct_option,topic
ما التعريف الأدق للمبتدأ في الجملة الاسمية؟,اسم مجرد من العوامل اللفظية يُخبر عنه,اسم يأتي بعد الفعل,كل اسم مرفوع,اسم يدل على زمان أو مكان,option_1,المبتدأ والخبر
في أي جملة وُجد مسوغ صحيح للابتداء بالنكرة؟,في الدارِ رجلٌ,رجلٌ في الدار,الرجلُ في الدار,الدارُ رجلٌ,option_1,المبتدأ والخبر
في جملة: «أقائمٌ الزيدان؟» ما موقع (قائم) الإعرابي؟,مبتدأ مرفوع سد مسد الخبر,خبر مقدم,حال منصوب,صفة,option_1,المبتدأ والخبر
يكون الخبر جملة اسمية إذا كان:,يتكون من مبتدأ وخبر,يتكون من فعل وفاعل,يتكون من ظرف فقط,اسمًا مفردًا,option_1,المبتدأ والخبر
أي الجمل الآتية خبرها شبه جملة؟,الكتابُ فوقَ الطاولة,الطالبُ مجتهدٌ,العلمُ نافعٌ,الجوُّ معتدلٌ,option_1,المبتدأ والخبر
يجب تقديم الخبر على المبتدأ إذا كان:,شبه جملة والمبتدأ نكرة,المبتدأ معرفة,الخبر مفرد,المبتدأ مثنى,option_1,المبتدأ والخبر
في جملة: «في البيتِ رجلٌ» سبب تقديم الخبر هو:,كون المبتدأ نكرة,كون الخبر معرفة,كثرة الكلمات,الرغبة في الإيجاز,option_1,المبتدأ والخبر
أي الجمل الآتية يصح فيها الابتداء بالنكرة دون مسوغ؟,لا واحدة مما ذُكر,رجلٌ في الدار,طالبٌ,كتابٌ جديد,option_1,المبتدأ والخبر
يكون المبتدأ وصفًا عاملاً إذا:,سبق بنفي أو استفهام,كان معرفة,تأخر عن الخبر,كان جمعًا,option_1,المبتدأ والخبر
في جملة: «محمدٌ أبوه نشيطٌ» الجملة الاسمية في محل:,خبر للمبتدأ الأول,حال,صفة,بدل,option_1,المبتدأ والخبر
الأصل في ترتيب الجملة الاسمية هو:,تقديم المبتدأ على الخبر,تقديم الخبر دائمًا,جواز التقديم مطلقًا,تقديم الفعل,option_1,المبتدأ والخبر
أي الجمل الآتية تقدّم فيها الخبر جوازًا؟,جاء إلى الجامعة الطالبُ,في البيت رجلٌ,كيف حالك؟,أقائمٌ الزيدان؟,option_1,المبتدأ والخبر
إذا تساوى المبتدأ والخبر في التعريف، فإن:,المقدم منهما هو المبتدأ,المؤخر هو المبتدأ,لا يمكن التمييز,كلاهما خبر,option_1,المبتدأ والخبر
في قولنا: «زيدٌ أخوك» كلمة (زيد) هي:,مبتدأ,خبر,بدل,نعت,option_1,المبتدأ والخبر
أي الجمل الآتية غير صحيحة نحويًا؟,رجلٌ في البيت,في البيتِ رجلٌ,الطالبُ في القاعة,الكتابُ على الطاولة,option_1,المبتدأ والخبر
أي الكلمات الآتية همزتها همزة وصل؟,ابتسم,أخذ,إيمان,أكرم,option_1,الهمزة
همزة القطع تُنطق:,في أول الكلمة ووسطها,في أول الكلمة فقط,في وسط الكلمة فقط,لا تُنطق,option_1,الهمزة
أي الكلمات الآتية همزتها همزة قطع؟,أحمد,اسم,ابن,امرؤ,option_1,الهمزة
تكتب الهمزة المتوسطة على الواو إذا كانت أقوى الحركتين هي:,الضمة,الكسرة,الفتحة,السكون,option_1,الهمزة
تكتب الهمزة المتوسطة على الياء إذا كانت أقوى الحركتين هي:,الكسرة,الضمة,الفتحة,السكون,option_1,الهمزة
أي الكلمات الآتية كُتبت همزتها المتوسطة كتابة صحيحة؟,سُئل,سؤال,مسوول,مسئول,option_1,الهمزة
تكتب الهمزة المتطرفة على الألف إذا كان ما قبلها:,مفتوحًا,مضمومًا,مكسورًا,ساكنًا,option_1,الهمزة
أي الكلمات الآتية كُتبت همزتها المتطرفة كتابة صحيحة؟,بدأ,جزؤ,دفئ,شيئ,option_1,الهمزة
في كلمة (آكل) سبب كتابة الهمزة هو:,التقاء همزتين,همزة متطرفة,همزة متوسطة,همزة وصل,option_1,الهمزة
أي الأفعال الآتية تبدأ بهمزة وصل؟,استغفر,أكرم,أخذ,أكل,option_1,الهمزة
همزة (الـ) التعريف هي:,همزة وصل,همزة قطع,همزة متوسطة,همزة متطرفة,option_1,الهمزة
أي الكلمات الآتية حُذفت ألف (ابن) فيها حذفًا صحيحًا؟,علي بن أبي طالب,محمد ابن علي,هذا ابن خالد,ابن زيد كريم,option_1,الهمزة
تكتب الهمزة مفردة على السطر إذا كانت:,مفتوحة بعد ألف ساكن,مكسورة,مضمومة,ساكنة بعد واو,option_1,الهمزة
أي الكلمات الآتية تحتوي همزة متوسطة؟,سأل,بدء,جزء,رؤية,option_1,الهمزة
الكلمة الصحيحة كتابةً هي:,مبادئ,مبادء,مباديء,مبادي,option_1,الهمزة
أي الكلمات الآتية تكتب بالظاء لا بالضاد؟,الظلم,الضوء,الضريح,الضمان,option_1,الضاد والظاء
السبب الرئيس للخلط بين الضاد والظاء هو:,عدم التمرن على مخارج الحروف,تشابه المعنى,تشابه الشكل الكتابي,قلة الكلمات,option_1,الضاد والظاء
يخرج حرف الضاد من:,حافة اللسان,طرف اللسان,أقصى الحلق,الشفتين,option_1,الضاد والظاء
أي الكلمات الآتية صحيحة الكتابة؟,الحظ,الحض,الحضّ,الحضُ,option_1,الضاد والظاء
عدد الكلمات التي تُكتب بالظاء محدود، لذلك يُنصح بـ:,حفظها,تجاهلها,القياس عليها دائمًا,كتابتها ضادًا,option_1,الضاد والظاء
