lecture_number,lecture_name,question,option_1,option_2,option_3,option_4,correct_option
1,Choose the right alternative,We usually ___ football every Friday.,play,are playing,played,will play,option_1
1,Choose the right alternative,Listen! Someone ___ at the door.,is knocking,knocks,knocked,will knock,option_1
1,Choose the right alternative,She usually ___ to work every day.,drives,is driving,drove,will drive,option_1
1,Choose the right alternative,I don't ___ this question.,understand,am understanding,understood,will understand,option_1
1,Choose the right alternative,My brother ___ as an engineer this year.,is working,works,worked,will work,option_1
1,Choose the right alternative,They ___ his story.,don't believe,aren't believing,didn't believe,won't believe,option_1
1,Choose the right alternative,That phone ___ too much money.,costs,is costing,costed,will cost,option_1
1,Choose the right alternative,Why ___ you leave early yesterday?,did,do,are,were,option_1
1,Choose the right alternative,We ___ TV when the power went out.,were watching,watched,are watching,will watch,option_1
1,Choose the right alternative,She ___ in Najaf since 2018.,has lived,is living,lived,will live,option_1
1,Choose the right alternative,What ___ you doing right now?,are,do,did,will,option_1
2,Complete the sentences (do / be / have),Where ___ you studying these days?,are,do,did,have,option_1
2,Complete the sentences (do / be / have),___ she finish her homework yesterday?,Did,Does,Has,Is,option_1
2,Complete the sentences (do / be / have),I ___ not feeling well today.,am,do,have,did,option_1
2,Complete the sentences (do / be / have),They ___ a meeting every Monday.,have,are,do,did,option_1
2,Complete the sentences (do / be / have),What ___ you doing at 8 o'clock last night?,were,are,did,have,option_1
2,Complete the sentences (do / be / have),He ___ never traveled abroad.,has,is,did,was,option_1
2,Complete the sentences (do / be / have),___ your father work in a hospital?,Does,Did,Is,Has,option_1
2,Complete the sentences (do / be / have),We ___ waiting for the bus right now.,are,do,have,were,option_1
2,Complete the sentences (do / be / have),She ___ a car when she was a student.,had,has,is,was,option_1
2,Complete the sentences (do / be / have),Why ___ they angry yesterday?,were,are,did,have,option_1
2,Complete the sentences (do / be / have),___ you like coffee or tea?,Do,Are,Did,Have,option_1
3,Choose the right alternative (mixed tenses),"He usually ___ economics, but this semester he is working in administration.",teaches,is teaching,taught,will teach,option_1
3,Choose the right alternative (mixed tenses),I ___ this explanation is clear enough.,don't think,am not thinking,didn't think,won't think,option_1
3,Choose the right alternative (mixed tenses),"At this time last week, we ___ the final project.",were discussing,discussed,are discussing,will discuss,option_1
3,Choose the right alternative (mixed tenses),She ___ the mistake until the results were published.,didn't notice,wasn't noticing,doesn't notice,won't notice,option_1
3,Choose the right alternative (mixed tenses),"While the manager was talking, everyone ___ carefully.",was listening,listened,listens,will listen,option_1
3,Choose the right alternative (mixed tenses),More and more students ___ online courses these days.,prefer,are preferring,preferred,will prefer,option_1
3,Choose the right alternative (mixed tenses),What ___ when the system suddenly crashed?,were you doing,did you do,are you doing,will you do,option_1
3,Choose the right alternative (mixed tenses),He ___ at the university for five years before he changed jobs.,worked,was working,works,will work,option_1
3,Choose the right alternative (mixed tenses),"Right now, the committee ___ the submitted reports.",is reviewing,reviews,reviewed,will review,option_1
3,Choose the right alternative (mixed tenses),"I ___ the dean yesterday, not during the conference.",met,was meeting,meet,will meet,option_1
3,Choose the right alternative (mixed tenses),"When I entered the office, they ___ about the budget.",were arguing,argued,argue,will argue,option_1
4,Complete the sentences (do / be / have – advanced),Where ___ she living at the moment?,is,does,has,was,option_1
4,Complete the sentences (do / be / have – advanced),___ you ever been skiing?,Have,Did,Are,Do,option_1
4,Complete the sentences (do / be / have – advanced),What ___ you do last weekend?,did,do,are,were,option_1
4,Complete the sentences (do / be / have – advanced),Ali ___ a good grade in the exam.,has,is,does,was,option_1
4,Complete the sentences (do / be / have – advanced),This car ___ manufactured in 1995.,was,is,has,did,option_1
4,Complete the sentences (do / be / have – advanced),I ___ getting married in a few weeks.,am,do,have,was,option_1
4,Complete the sentences (do / be / have – advanced),___ he work in the same company as you?,Does,Did,Is,Has,option_1
4,Complete the sentences (do / be / have – advanced),Our children ___ enjoy it much.,don't,aren't,didn't,haven't,option_1
4,Complete the sentences (do / be / have – advanced),My family ___ watching TV right now.,is,are,were,has,option_1
4,Complete the sentences (do / be / have – advanced),"When I arrived, they ___ having an argument.",were,are,did,have,option_1
4,Complete the sentences (do / be / have – advanced),What sort of music ___ you like?,do,are,did,have,option_1
