question,option_1,option_2,option_3,option_4,correct_option,topic
تُعرَّف حقوق الإنسان بأنها مجموعة من الحقوق الأساسية التي تثبت لكل إنسان دون تمييز، وتهدف إلى صون كرامته وضمان حريته وتحقيق المساواة، وهي حقوق تُعد ___ من حيث المصدر والطبيعة.,حقوقًا عالمية ملازمة للإنسان,حقوقًا تنظيمية تمنحها الدولة,,,option_1,حقوق الإنسان
من خصائص حقوق الإنسان أنها لا ترتبط بجنسية أو دين أو لغة، بل تُمنح لكل إنسان لكونه إنسانًا، وتُعرف هذه الخاصية باسم ___.,العالمية,الخصوصية,,,option_1,حقوق الإنسان
تعني خاصية اللزوم في حقوق الإنسان أن هذه الحقوق تثبت للإنسان منذ ولادته ولا يجوز التنازل عنها أو سلبها، لأنها حقوق ___.,مرتبطة بالكرامة الإنسانية,قابلة للتقييد المطلق,,,option_1,حقوق الإنسان
تُعد حقوق الإنسان غير قابلة للتجزئة، أي لا يمكن الفصل بين الحقوق المدنية والسياسية من جهة، والاقتصادية والاجتماعية من جهة أخرى، لأنها حقوق ___.,مترابطة ومتكاملة,مستقلة عن بعضها,,,option_1,حقوق الإنسان
الحقوق المدنية تُعنى بحماية الفرد من تعسف السلطة وضمان حريته الشخصية، ومن أمثلتها الحق في الحياة والحرية والأمن، وهي حقوق تهدف إلى حماية ___.,الوجود الإنساني الأساسي,المصالح الاقتصادية,,,option_1,حقوق الإنسان
تمكّن الحقوق السياسية الفرد من المشاركة في إدارة الشأن العام مثل الانتخاب والترشيح، ويُعد وجود هذه الحقوق مؤشرًا على ___.,طبيعة النظام السياسي,مستوى الدخل القومي,,,option_1,حقوق الإنسان
الحقوق الاقتصادية تهدف إلى ضمان حق الإنسان في العمل والأجر العادل وتوفير مستوى معيشي لائق، وتسهم في تحقيق ___.,العدالة الاجتماعية,الاستقرار الأمني فقط,,,option_1,حقوق الإنسان
تشمل الحقوق الاجتماعية حق الإنسان في التعليم والرعاية الصحية والضمان الاجتماعي، وهي تعبير عن مبدأ ___.,التكافل الاجتماعي,المنفعة الفردية,,,option_1,حقوق الإنسان
الحقوق الثقافية تهدف إلى تمكين الإنسان من المشاركة في الحياة الثقافية والاستفادة من التقدم العلمي، وتسهم في تعزيز ___.,الهوية والوعي الثقافي,السلطة السياسية,,,option_1,حقوق الإنسان
يرتكز مفهوم حقوق الإنسان على مبدأ الكرامة الإنسانية، والذي يعني أن للإنسان قيمة ذاتية مستقلة لا تستمد من ___.,السلطة أو القانون الوضعي,كونه إنسانًا,,,option_2,حقوق الإنسان
تُعرّف الشرعة الدولية لحقوق الإنسان بأنها مجموعة من الوثائق الدولية التي تشكل الإطار المرجعي لحماية حقوق الإنسان على المستوى ___.,الدولي,المحلي فقط,,,option_1,حقوق الإنسان
تتكون الشرعة الدولية لحقوق الإنسان من الإعلان العالمي لحقوق الإنسان والعهدين الدوليين، وتُعد مرجعًا أساسيًا لـ ___.,تنظيم حقوق الإنسان عالميًا,القوانين الوطنية فقط,,,option_1,حقوق الإنسان
القيمة القانونية للإعلان العالمي لحقوق الإنسان تكمن في كونه وثيقة أخلاقية ومعيارية أسهمت في تطوير ___.,القانون الدولي لحقوق الإنسان,القانون الجنائي الداخلي,,,option_1,حقوق الإنسان
العهدان الدوليان يشكلان التزامًا قانونيًا على الدول المصادقة عليهما، ويُلزمانها باحترام حقوق الإنسان وحمايتها ___.,وتنفيذها,دون رقابة,,,option_1,حقوق الإنسان
العهد الدولي الخاص بالحقوق المدنية والسياسية يركز على حماية الحريات الأساسية وضمان مشاركة الفرد في الحياة ___.,السياسية,الاقتصادية فقط,,,option_1,حقوق الإنسان
العهد الدولي الخاص بالحقوق الاقتصادية والاجتماعية والثقافية يهدف إلى ضمان مستوى معيشي لائق وتحقيق ___.,العدالة الاجتماعية,السيطرة السياسية,,,option_1,حقوق الإنسان
تُعرّف الآليات الوطنية لحقوق الإنسان بأنها المؤسسات والإجراءات التي تعتمدها الدولة من أجل ___.,حماية حقوق الإنسان داخل الدولة,تمثيل الدولة خارجيًا فقط,,,option_1,حقوق الإنسان
الآليات الإجرائية لحقوق الإنسان تهدف إلى تمكين الأفراد من تقديم الشكاوى ومتابعة الانتهاكات عبر ___.,إجراءات قانونية محددة,وسائل غير رسمية,,,option_1,حقوق الإنسان
تُعد حقوق المرأة جزءًا لا يتجزأ من حقوق الإنسان، وتهدف إلى القضاء على جميع أشكال ___.,التمييز ضد المرأة,الاختلاف الطبيعي,,,option_1,حقوق الإنسان
